Policy Name,Category,Policy Impact Score,GDP Impact (%),Employment Impact (%),Productivity Impact (%),Economic Efficiency Score
Central Provident Fund,An sinh xã hội,4.45,5.51,-0.4,12.79,5.97
ComCare Assistance Scheme,Phúc lợi xã hội,3.5,8.35,4.56,4.05,5.66
Goods and Services Tax,Thuế,3.55,5.91,6.53,5.22,5.89
Housing Development Act,Phát triển đô thị,4.9,7.65,6.31,12.55,8.84
Medisave Scheme,Chăm sóc sức khỏe,3.8,19.56,9.04,8.26,12.29
Monetary Authority of Singapore Act,Kinh tế tài chính,4.45,8.02,5.69,11.45,8.39
National Arts Council,Văn hóa xã hội,3.2,13.42,9.49,7.03,9.98
National Service,An ninh quốc phòng,4.1,7.51,1.09,14.74,7.78
SkillsFuture Initiative,Giáo dục,3.9,8.49,9.68,2.7,6.96
Smoking (Prohibition in Certain Places) Act,Giữ gìn trật tự đô thị,3.95,7.98,1.75,9.91,6.55
