policy_name,category,Avg Scope Score,Avg Magnitude Score,Avg Durability Score,Avg Adaptability Score,Avg Cross-ref Score,Overall Impact Score,Assessment Count,Assessor Diversity,Avg Confidence Level,Data Quality
Central Provident Fund,An sinh xã hội,5.0,4.0,5.0,4.0,4.0,4.45,1,1,4.0,Medium
ComCare Assistance Scheme,Phúc lợi xã hội,3.0,3.0,4.0,4.0,3.0,3.5,1,1,4.0,Medium
Goods and Services Tax,Thuế,4.0,3.0,4.0,3.5,3.0,3.55,2,2,3.5,High
Housing Development Act,Phát triển đô thị,5.0,5.0,5.0,4.5,5.0,4.9,2,2,5.0,High
Medisave Scheme,Chăm sóc sức khỏe,4.0,4.0,4.0,3.0,4.0,3.8,1,1,4.0,Medium
Monetary Authority of Singapore Act,Kinh tế tài chính,5.0,4.0,5.0,4.0,4.0,4.45,1,1,5.0,Medium
National Arts Council,Văn hóa xã hội,3.0,3.0,3.0,4.0,3.0,3.2,1,1,3.0,Medium
National Service,An ninh quốc phòng,4.0,4.0,5.0,3.0,4.0,4.1,1,1,5.0,Medium
SkillsFuture Initiative,Giáo dục,4.0,4.0,3.0,5.0,4.0,3.9,1,1,4.0,Medium
Smoking (Prohibition in Certain Places) Act,Giữ gìn trật tự đô thị,3.0,4.0,4.0,4.0,5.0,3.95,1,1,4.0,Medium
