Policy ID,Policy Name,Category,Implementation Year,Assessment Date,Years Since Implementation,Overall Score,Durability Score,Adaptability Score,Assessor,Confidence Level
HDB-1960-001,Housing Development Act,Phát triển đô thị,1960,2020-01-15,60.0,4.8,5,4,Singapore Policy Research Institute,5
HDB-1960-001,Housing Development Act,Phát triển đô thị,1960,2023-06-10,63.4,5.0,5,5,Urban Studies Research Centre NUS,5
CPF-1955-001,Central Provident Fund,An sinh xã hội,1955,2021-03-20,65.7,4.45,5,4,Social Security Research Center,4
MEDISAVE-1984-001,Medisave Scheme,Chăm sóc sức khỏe,1984,2022-11-15,38.6,3.8,4,3,Healthcare Economics Institute,4
GST-1994-001,Goods and Services Tax,Thuế,1994,2019-11-05,25.6,3.45,4,3,Tax Policy Analysis Unit,3
GST-1994-001,Goods and Services Tax,Thuế,1994,2023-02-15,28.9,3.65,4,4,Economic Research Institute,4
SKILLSFUTURE-2015-001,SkillsFuture Initiative,Giáo dục,2015,2020-08-12,5.6,3.9,3,5,Education Policy Research Group,4
NS-1967-001,National Service,An ninh quốc phòng,1967,2018-09-30,51.6,4.1,5,3,Defense Studies Center,5
SMOKING-1970-001,Smoking (Prohibition in Certain Places) Act,Giữ gìn trật tự đô thị,1970,2020-05-18,49.4,3.95,4,4,Public Health Policy Institute,4
MAS-1970-001,Monetary Authority of Singapore Act,Kinh tế tài chính,1970,2019-12-08,49.0,4.45,5,4,Financial Services Research Group,5
NAC-1991-001,National Arts Council,Văn hóa xã hội,1991,2022-04-25,30.6,3.2,3,4,Cultural Policy Studies Unit,3
COMCARE-2005-001,ComCare Assistance Scheme,Phúc lợi xã hội,2005,2021-11-12,16.6,3.5,4,4,Social Welfare Research Center,4
